LOA,No_of_Teus,GRT,port_waiting_time,ops_preparation_time,total_port_time,start_minutes_of_day,arrival_hour,arrival_day,arrival_month,arrival_year,arrival_dayofweek,Berth_Code_encoded,size_category_encoded,teu_category_encoded,grt_category_encoded,season_encoded,teu_per_meter,grt_per_meter,grt_per_teu,total_prep_ratio,waiting_ratio,teu_density,volume_index,avg_prep_time_by_size,avg_waiting_time_by_size,is_night_arrival,is_weekend,completion_minutes
98,2870,98790,0.48,0.216,15.454,124,1,1,1,2022,5,0,4,1,1,3,29.285714285714285,1008.0612244897959,34.42160278745644,0.45,0.031059919761873948,0.00029644411666883576,3028.821312829506,0.3408404580152672,0.4721145038167939,1,1,861
113,3100,102700,0.384,0.20879999999999999,16.471999999999998,78,1,1,1,2022,5,1,4,2,2,3,27.43362831858407,908.8495575221239,33.12903225806452,0.54375,0.023312287518212727,0.0002671239368898157,3301.187512625701,0.3408404580152672,0.4721145038167939,1,1,930
337,3200,104400,0.432,0.2424,17.1352,192,2,1,1,2022,5,2,3,0,0,3,9.495548961424332,309.79228486646883,32.625,0.5611111111111111,0.0252112610299267,9.09535341132599e-05,4828.6618465481315,0.33921854583772393,0.46746469968387777,1,1,960
104,3240,105080,0.504,0.408,17.808,190,2,1,1,2022,5,3,4,0,0,3,31.153846153846153,1010.3846153846154,32.4320987654321,0.8095238095238094,0.02830188679245283,0.0002964774091534655,3283.72014945584,0.3408404580152672,0.4721145038167939,1,1,972
257,2890,99130,0.432,0.48,16.154,162,2,1,1,2022,5,4,1,1,1,3,11.245136186770427,385.7198443579766,34.30103806228374,1.1111111111111112,0.026742602451405223,0.00011343827485897738,4191.267284313808,0.33098196027352655,0.46991077824812766,1,1,867
202,2756,96852,0.312,0.4536,15.315999999999999,1027,16,1,1,2022,5,5,2,4,4,3,13.643564356435643,479.46534653465346,35.1422351233672,1.4538461538461538,0.020370854008879606,0.00014087023867793793,3777.86462971207,0.341793401319736,0.4713617276544691,0,1,826
328,2580,93860,0.624,0.38880000000000003,14.6448,912,14,1,1,2022,5,6,0,4,4,3,7.865853658536586,286.1585365853659,36.37984496124031,0.6230769230769231,0.04260898066207801,8.38041088699828e-05,4298.576893408772,0.33365267175572516,0.4695648854961832,0,1,774
358,3150,103550,0.432,0.2808,17.0076,984,16,1,1,2022,5,7,3,0,0,3,8.798882681564246,289.24581005586595,32.87301587301587,0.65,0.025400409228815354,8.49723098171342e-05,4887.812764656199,0.33921854583772393,0.46746469968387777,0,1,945
180,2836,98212,0.504,0.2928,15.488000000000001,1139,18,1,1,2022,5,8,2,1,1,3,15.755555555555556,545.6222222222223,34.63046544428773,0.580952380952381,0.03254132231404958,0.00016042393552270147,3687.3505647150946,0.341793401319736,0.4713617276544691,0,1,850
339,3300,106100,0.576,0.4632,18.2928,1164,18,1,1,2022,5,9,3,3,3,3,9.734513274336283,312.9793510324484,32.15151515151515,0.8041666666666667,0.03148779847808974,9.17484757241874e-05,4914.466066177843,0.33921854583772393,0.46746469968387777,0,1,990
